Sale,Score,Date
322,5,2019/03/03 13:25:25
666,5,2019/03/03 13:25:41
322,41,2019/03/03 13:25:41
666,10,2019/03/03 13:30:15
777,18,2019/03/03 13:30:41
666,54,2019/03/03 13:51:42
666,32,2019/03/03 14:07:19
331,1,2019/03/05 13:18:54
666,5,2019/03/05 13:20:08
665,3,2019/03/05 13:20:08
327,1,2019/03/05 16:58:10
332,1,2019/03/05 16:58:10
332,1,2019/03/05 16:58:10
331,1,2019/03/05 16:58:10
332,1,2019/03/05 16:58:10
324,1,2019/03/05 16:58:10
331,1,2019/03/05 16:58:10
324,1,2019/03/08 17:29:12
666,2,2019/03/08 17:47:12
666,5,2019/03/08 17:48:40
668,7,2019/03/08 17:48:40
324,1,2019/03/08 17:57:19
327,1,2019/03/09 16:59:43
666,32,2019/03/12 23:04:26
666,5,2019/03/12 23:42:48
664,6,2019/03/12 23:42:48
331,1,2019/03/15 21:46:52
325,1,2019/03/17 17:58:29
324,1,2019/03/17 17:58:32
324,2,2019/03/17 18:06:08
325,2,2019/03/17 18:06:08
325,1,2019/03/17 18:07:46
327,1,2019/03/17 19:30:47
331,1,2019/03/18 12:01:37
325,1,2019/03/19 19:24:41
331,1,2019/03/20 13:13:06
327,1,2019/03/20 15:28:23
666,,2019/03/20 18:39:21
666,-1,2019/03/20 18:59:30
