仓库编号	仓库名称	商品编码	商品名称	品牌名称	分类名称	商品属性	年份	季节	单价	颜色编号	颜色名称	规格编号	规格名称	版型名	实际库存	在购库存	在途库存	预订库存	已配库存	挂账库存	可配库存	配码库存	装箱库存	包装库存	实存金额
19HL1SM005	森马福建恒隆宁德万达店	1011941010000029	2019年s1s2新品上市水牌-mall	森马集团	宣传品	宣传品	2019	Q1	0.0000	0000	通用色	29	M		1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.00
19HL1SM005	森马福建恒隆宁德万达店	1011941011000029	2019年s1s2新品上市流水台插页-mall	森马集团	宣传品	宣传品	2019	Q1	0.0000	0000	通用色	29	M		6.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.0000	0.0000	0.0000	0.0000	0.00
19HL1SM005	森马福建恒隆宁德万达店	1011941012000029	2019年s1s2新品上市边场层板插页－mall	森马集团	宣传品	宣传品	2019	Q1	0.0000	0000	通用色	29	M		15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	15.0000	0.0000	0.0000	0.0000	0.00
19HL1SM005	森马福建恒隆宁德万达店	1011941014000029	2019年s1s2陈列手册	森马集团	宣传品	宣传品	2019	Q1	0.0000	0000	通用色	29	M		1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.00
19HL1SM005	森马福建恒隆宁德万达店	10215270511880025	女款基本五袋小脚休闲长裤	森马集团	休闲长裤	商品	2015	Q2	139.0000	8800	深蓝	25	25		14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	14.0000	0.0000	0.0000	0.0000	1946.00
19HL1SM005	森马福建恒隆宁德万达店	10215270511880026	女款基本五袋小脚休闲长裤	森马集团	休闲长裤	商品	2015	Q2	139.0000	8800	深蓝	26	26		11.0000	0.0000	0.0000	0.0000	0.0000	0.0000	11.0000	0.0000	0.0000	0.0000	1529.00
19HL1SM005	森马福建恒隆宁德万达店	10215270511880027	女款基本五袋小脚休闲长裤	森马集团	休闲长裤	商品	2015	Q2	139.0000	8800	深蓝	27	27		6.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.0000	0.0000	0.0000	0.0000	834.00
19HL1SM005	森马福建恒隆宁德万达店	1021941014000029	2019年s3s4陈列手册	森马集团	宣传品	宣传品	2019	Q2	0.0000	0000	通用色	29	M		1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.00
19HL1SM005	森马福建恒隆宁德万达店	10415070048001229	女款套头毛衫	森马集团	毛衫	商品	2015	Q4	159.0000	0012	中花灰	29	M		3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.0000	0.0000	0.0000	0.0000	477.00
19HL1SM005	森马福建恒隆宁德万达店	10415070048110033	女款套头毛衫	森马集团	毛衫	商品	2015	Q4	159.0000	1100	本白	33	XL		1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	159.00
19HL1SM005	森马福建恒隆宁德万达店	10415070048871027	女款套头毛衫	森马集团	毛衫	商品	2015	Q4	159.0000	8710	宝蓝	27	S		2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	0.0000	0.0000	0.0000	318.00
19HL1SM005	森马福建恒隆宁德万达店	10415070064036629	女款套头毛衫	森马集团	毛衫	商品	2015	Q4	179.0000	0366	红色调	29	M		1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	179.00
19HL1SM005	森马福建恒隆宁德万达店	1041820001000029	2018年纽约时装周手提袋	森马集团	辅料	辅料	2018	Q4	0.0000	0000	通用色	29	M		3300.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3300.0000	0.0000	0.0000	0.0000	0.00
19HL1SM005	森马福建恒隆宁德万达店	1041820002000029	2019年新年手提袋	森马集团	辅料	辅料	2018	Q4	0.0000	0000	通用色	29	M		9000.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9000.0000	0.0000	0.0000	0.0000	0.00
19HL1SM005	森马福建恒隆宁德万达店	1041822001000029	女装套餐1	森马集团	辅料	辅料	2018	Q4	0.0000	0000	通用色	29	M		1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.00
19HL1SM005	森马福建恒隆宁德万达店	1041822002000029	女装套餐2	森马集团	辅料	辅料	2018	Q4	0.0000	0000	通用色	29	M		1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.00
